year,county,data item,value
1991,redwood,24925000
1991,rock,13027400
1990,cottonwood,19220000
1990,jackson,23713900
1990,lincoln,8448000
1990,lyon,18240000
1990,murray,17658600
1990,nobles,23124000
1990,pipestone,11209000
1990,redwood,25881600
1990,rock,14962400
1989,cottonwood,18492000
1989,jackson,22114900
1989,lincoln,7604900
1989,lyon,14797200
1989,murray,17196000
1989,nobles,22356000
1989,pipestone,9946800
1989,redwood,24472000
1989,rock,14422200
1988,cottonwood,10080000
1988,jackson,14137200
1988,lincoln,3009000
1988,lyon,5684000
1988,murray,10230300
1988,nobles,13284000
1988,pipestone,3980300
1988,redwood,9971000
1988,rock,8083800
1987,cottonwood,14521000
1987,jackson,17822000
1987,lincoln,6339200
1987,lyon,13562500
1987,murray,14475000
1987,nobles,17199000
1987,pipestone,8073000
1987,redwood,19201000
1987,rock,10913400
1986,cottonwood,19458000
1986,jackson,23356200
1986,lincoln,6256000
1986,lyon,16402000
1986,murray,14725400
1986,nobles,15251400
1986,pipestone,8948600
1986,redwood,21318000
1986,rock,13157200
1985,cottonwood,19567800
1985,jackson,24626400
1985,lincoln,9116800
1985,lyon,17434000
1985,murray,15595200
1985,nobles,17740800
1985,pipestone,9439500
1985,redwood,24179200
1985,rock,12199000
1984,cottonwood,18956700
1984,jackson,22294900
1984,lincoln,6575400
1984,lyon,14763000
1984,murray,13395200
1984,nobles,16236000
1984,pipestone,8097600
1984,redwood,21828800
1984,rock,12547500
1983,cottonwood,8213400
1983,jackson,10964800
1983,lincoln,4101300
1983,lyon,6934500
1983,murray,8112000
1983,nobles,8752000
1983,pipestone,4637600
1983,redwood,11176600
1983,rock,6205000
1982,cottonwood,18711000
1982,jackson,23595000
1982,lincoln,7709700
1982,lyon,17005600
1982,murray,16611000
1982,nobles,19857900
1982,pipestone,9108000
1982,redwood,23907200
1982,rock,12230100
1981,cottonwood,17714400
1981,jackson,25309200
1981,lincoln,7760800
1981,lyon,13708000
1981,murray,13354800
1981,nobles,21819600
1981,pipestone,7045500
1981,redwood,21900300
1981,rock,13265300
1980,cottonwood,15717800
1980,jackson,22723800
1980,lincoln,6129200
1980,lyon,14497000
1980,murray,13836800
1980,nobles,13651000
1980,pipestone,7410200
1980,redwood,19573800
1980,rock,12107400
1979,cottonwood,14770200
1979,jackson,19019000
1979,lincoln,7752000
1979,lyon,13263600
1979,murray,13289700
1979,nobles,16890000
1979,pipestone,7740800
1979,redwood,17090500
1979,rock,12668800
1978,cottonwood,15735700
1978,jackson,20458100
1978,lincoln,7863800
1978,lyon,13428800
1978,murray,14629400
1978,nobles,17382700
1978,pipestone,7958000
1978,redwood,20436300
1978,rock,12640300
1977,cottonwood,14630900
1977,jackson,16954700
1977,lincoln,6804300
1977,lyon,12640500
1977,murray,14817500
1977,nobles,16211200
1977,pipestone,6676500
1977,redwood,17357900
1977,rock,12302000
1976,cottonwood,9294000
1976,jackson,12224800
1976,lincoln,1445800
1976,lyon,2619500
1976,murray,5594700
1976,nobles,8377900
1976,pipestone,1632400
1976,redwood,5990500
1976,rock,3906000
1975,cottonwood,10165100
1975,jackson,16634000
1975,lincoln,3126500
